sample	R1	R2
5517_hypo	5517_hypo_L003_R1_001.fastq.gz	5517_hypo_L003_R2_001.fastq.gz
5517_hypo	5517_hypo_L004_R1_001.fastq.gz	5517_hypo_L004_R2_001.fastq.gz
#5517_hypo	5517_hypo_ATCACG_L005_R1_001.fastq.gz	5517_hypo_ATCACG_L005_R2_001.fastq.gz
#5517_hypo	5517_hypo_ATCACG_L008_R1_001.fastq.gz	5517_hypo_ATCACG_L008_R2_001.fastq.gz
5517_liver	5517_liver_L001_R1_001.fastq.gz	5517_liver_L001_R2_001.fastq.gz
5517_liver	5517_liver_L002_R1_001.fastq.gz	5517_liver_L002_R2_001.fastq.gz
#5517_liver	5517_liver_CAGATC_L004_R1_001.fastq.gz	5517_liver_CAGATC_L004_R2_001.fastq.gz
#5517_liver	5517_liver_CAGATC_L007_R1_001.fastq.gz	5517_liver_CAGATC_L007_R2_001.fastq.gz
5517_p_major	5517_p_major_ATCACG_L001_R1_001.fastq.gz	5517_p_major_ATCACG_L001_R2_001.fastq.gz
5517_p_major	5517_p_major_ATCACG_L002_R1_001.fastq.gz	5517_p_major_ATCACG_L002_R2_001.fastq.gz
5517_p_major	5517_p_major_ATCACG_L003_R1_001.fastq.gz	5517_p_major_ATCACG_L003_R2_001.fastq.gz
5517_p_major	5517_p_major_ATCACG_L006_R1_001.fastq.gz	5517_p_major_ATCACG_L006_R2_001.fastq.gz
5518_hypo	5518_hypo_CGATGT_L003_R1_001.fastq.gz	5518_hypo_CGATGT_L003_R2_001.fastq.gz
5518_hypo	5518_hypo_CGATGT_L004_R1_001.fastq.gz	5518_hypo_CGATGT_L004_R2_001.fastq.gz
5518_hypo	5518_hypo_CGATGT_L005_R1_001.fastq.gz	5518_hypo_CGATGT_L005_R2_001.fastq.gz
5518_hypo	5518_hypo_CGATGT_L008_R1_001.fastq.gz	5518_hypo_CGATGT_L008_R2_001.fastq.gz
5518_liver	5518_liver_ACTTGA_L001_R1_001.fastq.gz	5518_liver_ACTTGA_L001_R2_001.fastq.gz
5518_liver	5518_liver_ACTTGA_L002_R1_001.fastq.gz	5518_liver_ACTTGA_L002_R2_001.fastq.gz
5518_liver	5518_liver_ACTTGA_L004_R1_001.fastq.gz	5518_liver_ACTTGA_L004_R2_001.fastq.gz
5518_liver	5518_liver_ACTTGA_L007_R1_001.fastq.gz	5518_liver_ACTTGA_L007_R2_001.fastq.gz
5518_p_major	5518_p_major_CGATGT_L001_R1_001.fastq.gz	5518_p_major_CGATGT_L001_R2_001.fastq.gz
5518_p_major	5518_p_major_CGATGT_L002_R1_001.fastq.gz	5518_p_major_CGATGT_L002_R2_001.fastq.gz
5518_p_major	5518_p_major_CGATGT_L003_R1_001.fastq.gz	5518_p_major_CGATGT_L003_R2_001.fastq.gz
5518_p_major	5518_p_major_CGATGT_L006_R1_001.fastq.gz	5518_p_major_CGATGT_L006_R2_001.fastq.gz
5519_hypo	5519_hypo_TTAGGC_L003_R1_001.fastq.gz	5519_hypo_TTAGGC_L003_R2_001.fastq.gz
5519_hypo	5519_hypo_TTAGGC_L004_R1_001.fastq.gz	5519_hypo_TTAGGC_L004_R2_001.fastq.gz
5519_hypo	5519_hypo_TTAGGC_L005_R1_001.fastq.gz	5519_hypo_TTAGGC_L005_R2_001.fastq.gz
5519_hypo	5519_hypo_TTAGGC_L008_R1_001.fastq.gz	5519_hypo_TTAGGC_L008_R2_001.fastq.gz
5519_liver	5519_liver_GATCAG_L001_R1_001.fastq.gz	5519_liver_GATCAG_L001_R2_001.fastq.gz
5519_liver	5519_liver_GATCAG_L002_R1_001.fastq.gz	5519_liver_GATCAG_L002_R2_001.fastq.gz
5519_liver	5519_liver_GATCAG_L004_R1_001.fastq.gz	5519_liver_GATCAG_L004_R2_001.fastq.gz
5519_liver	5519_liver_GATCAG_L007_R1_001.fastq.gz	5519_liver_GATCAG_L007_R2_001.fastq.gz
5519_p_major	5519_p_major_TTAGGC_L001_R1_001.fastq.gz	5519_p_major_TTAGGC_L001_R2_001.fastq.gz
5519_p_major	5519_p_major_TTAGGC_L002_R1_001.fastq.gz	5519_p_major_TTAGGC_L002_R2_001.fastq.gz
5519_p_major	5519_p_major_TTAGGC_L003_R1_001.fastq.gz	5519_p_major_TTAGGC_L003_R2_001.fastq.gz
5519_p_major	5519_p_major_TTAGGC_L006_R1_001.fastq.gz	5519_p_major_TTAGGC_L006_R2_001.fastq.gz
5551_hypo	5551_hypo_TGACCA_L003_R1_001.fastq.gz	5551_hypo_TGACCA_L003_R2_001.fastq.gz
5551_hypo	5551_hypo_TGACCA_L004_R1_001.fastq.gz	5551_hypo_TGACCA_L004_R2_001.fastq.gz
5551_hypo	5551_hypo_TGACCA_L005_R1_001.fastq.gz	5551_hypo_TGACCA_L005_R2_001.fastq.gz
5551_hypo	5551_hypo_TGACCA_L008_R1_001.fastq.gz	5551_hypo_TGACCA_L008_R2_001.fastq.gz
5551_liver	5551_liver_TAGCTT_L001_R1_001.fastq.gz	5551_liver_TAGCTT_L001_R2_001.fastq.gz
5551_liver	5551_liver_TAGCTT_L002_R1_001.fastq.gz	5551_liver_TAGCTT_L002_R2_001.fastq.gz
5551_liver	5551_liver_TAGCTT_L004_R1_001.fastq.gz	5551_liver_TAGCTT_L004_R2_001.fastq.gz
5551_liver	5551_liver_TAGCTT_L007_R1_001.fastq.gz	5551_liver_TAGCTT_L007_R2_001.fastq.gz
5551_p_major	5551_p_major_TGACCA_L001_R1_001.fastq.gz	5551_p_major_TGACCA_L001_R2_001.fastq.gz
5551_p_major	5551_p_major_TGACCA_L002_R1_001.fastq.gz	5551_p_major_TGACCA_L002_R2_001.fastq.gz
5551_p_major	5551_p_major_TGACCA_L003_R1_001.fastq.gz	5551_p_major_TGACCA_L003_R2_001.fastq.gz
5551_p_major	5551_p_major_TGACCA_L006_R1_001.fastq.gz	5551_p_major_TGACCA_L006_R2_001.fastq.gz
5552_hypo	5552_hypo_ACAGTG_L003_R1_001.fastq.gz	5552_hypo_ACAGTG_L003_R2_001.fastq.gz
5552_hypo	5552_hypo_ACAGTG_L004_R1_001.fastq.gz	5552_hypo_ACAGTG_L004_R2_001.fastq.gz
5552_hypo	5552_hypo_ACAGTG_L005_R1_001.fastq.gz	5552_hypo_ACAGTG_L005_R2_001.fastq.gz
5552_hypo	5552_hypo_ACAGTG_L008_R1_001.fastq.gz	5552_hypo_ACAGTG_L008_R2_001.fastq.gz
5552_liver	5552_liver_GGCTAC_L001_R1_001.fastq.gz	5552_liver_GGCTAC_L001_R2_001.fastq.gz
5552_liver	5552_liver_GGCTAC_L002_R1_001.fastq.gz	5552_liver_GGCTAC_L002_R2_001.fastq.gz
5552_liver	5552_liver_GGCTAC_L004_R1_001.fastq.gz	5552_liver_GGCTAC_L004_R2_001.fastq.gz
5552_liver	5552_liver_GGCTAC_L007_R1_001.fastq.gz	5552_liver_GGCTAC_L007_R2_001.fastq.gz
